overall_qual,overall_cond,year_remod/add,exter_qual,exter_cond,kitchen_qual,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,wood_deck_sf,pool_area,misc_val,heating_qc,bsmt_cond,bsmtfin_sf_1,total_bsmt_sf,bsmt_full_bath,bsmt_half_bath,fireplace_qu,garage_qual,garage_cond,saleprice,house_style,heating,central_air,electrical,paved_drive,garage_finish,fence,bsmtfin_type_1
6,8,2005,4,3,4,2,1,3,1,6,0,0,0,0,5,3.0,533.0,725.0,0.0,0.0,,3.0,3.0,130500,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
7,5,1997,4,3,4,2,1,4,1,8,1,0,0,0,5,3.0,637.0,913.0,1.0,0.0,3.0,3.0,3.0,220000,story_2,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
5,7,2007,3,4,4,1,0,3,1,5,0,0,0,0,3,3.0,731.0,1057.0,1.0,0.0,,3.0,3.0,109000,story_1,GasA,Y,SBrkr,Y,Unf,no_fence,GLQ
5,5,2007,3,3,3,2,1,3,1,7,0,100,0,0,4,3.0,0.0,384.0,0.0,0.0,,3.0,3.0,174000,story_2,GasA,Y,SBrkr,Y,Fin,no_fence,Unf
6,8,1993,3,3,3,2,0,3,1,6,0,0,0,0,3,4.0,0.0,676.0,0.0,0.0,,3.0,3.0,138500,story_1_half_fin,GasA,Y,SBrkr,N,Unf,no_fence,Unf
6,6,2002,4,3,4,2,1,2,1,6,1,0,0,0,5,3.0,247.0,1517.0,0.0,0.0,4.0,3.0,3.0,190000,story_1,GasA,Y,SBrkr,Y,Fin,no_fence,ALQ
6,5,2006,3,3,3,2,0,2,1,5,0,0,0,0,4,3.0,547.0,547.0,1.0,0.0,,3.0,3.0,140000,split_foyer,GasA,Y,SBrkr,Y,Fin,no_fence,GLQ
5,5,1959,3,3,3,1,0,3,1,6,0,0,0,0,2,3.0,1000.0,1188.0,1.0,0.0,,3.0,3.0,142000,story_1,GasA,Y,SBrkr,Y,RFn,MnPrv,Rec
5,5,1952,3,3,3,1,0,2,1,6,0,0,0,1000,3,3.0,292.0,924.0,0.0,0.0,,3.0,3.0,112500,story_1,GasA,Y,SBrkr,Y,Unf,MnPrv,Rec
5,5,1969,3,3,2,1,2,5,1,9,2,335,0,0,3,3.0,650.0,1040.0,0.0,1.0,3.0,3.0,3.0,135000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,Rec
6,5,1971,3,3,3,1,1,2,1,4,0,0,0,0,3,3.0,387.0,483.0,0.0,0.0,,3.0,3.0,85400,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,ALQ
7,5,2005,4,3,4,2,0,2,1,6,0,105,0,0,5,3.0,393.0,1208.0,0.0,0.0,,3.0,3.0,183600,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
5,7,2007,4,3,3,1,0,4,1,7,1,0,0,0,5,,0.0,0.0,0.0,0.0,3.0,3.0,3.0,131000,story_2,GasA,Y,SBrkr,P,Unf,no_fence,no_basement
8,5,2000,4,3,4,2,1,3,1,7,0,169,0,0,5,3.0,813.0,960.0,1.0,0.0,,3.0,3.0,200000,story_2,GasA,Y,SBrkr,Y,Unf,no_fence,GLQ
7,5,2007,4,3,4,2,0,3,1,6,0,0,0,0,5,3.0,24.0,1351.0,0.0,0.0,,3.0,3.0,193000,story_1,GasA,Y,SBrkr,Y,RFn,no_fence,GLQ
