house_style-split_level_VS_split_foyer,house_style-story_1_VS_split_level,house_style-story_1_half_unfin_VS_story_1,house_style-story_1_half_fin_VS_story_1_half_unfin,house_style-story_2_VS_story_1_half_fin,house_style-story_2_half_unfin_VS_story_2,house_style-story_2_half_fin_VS_story_2_half_unfin,heating-GasW_VS_GasA,heating-Grav_VS_GasW,heating-Wall_VS_Grav,heating-OthW_VS_Wall,central_air_VS_no_central_air,electrical-FuseA_VS_SBrkr,electrical-FuseF_VS_FuseA,electrical-FuseP_VS_FuseF,paved_drive-P_VS_N,paved_drive-Y_VS_P,garage_finish-Unf_VS_no_garage,garage_finish-RFn_VS_Unf,garage_finish-Fin_VS_RFn,fence-MnWw_VS_no_fence,fence-GdWo_VS_MnWw,fence-MnPrv_VS_GdWo,fence-GdPrv_VS_MnPrv,bsmtfin_type_1-Unf_VS_no_basement,bsmtfin_type_1-LwQ_VS_Unf,bsmtfin_type_1-Rec_VS_LwQ,bsmtfin_type_1-BLQ_VS_Rec,bsmtfin_type_1-ALQ_VS_BLQ,bsmtfin_type_1-GLQ_VS_ALQ,bsmt_cond-1_VS_no_basement,bsmt_cond-2_VS_1,bsmt_cond-3_VS_2,bsmt_cond-4_VS_3,bsmt_cond-5_VS_4,fireplace_qu-1_VS_no_fireplace,fireplace_qu-2_VS_1,fireplace_qu-3_VS_2,fireplace_qu-4_VS_3,fireplace_qu-5_VS_4,garage_qual-1_VS_no_garage,garage_qual-2_VS_1,garage_qual-3_VS_2,garage_qual-4_VS_3,garage_qual-5_VS_4,garage_cond-1_VS_no_garage,garage_cond-2_VS_1,garage_cond-3_VS_2,garage_cond-4_VS_3,garage_cond-5_VS_4,pool_VS_no_pool,overall_qual,overall_cond,year_remod/add,exter_qual,exter_cond,kitchen_qual,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,wood_deck_sf,heating_qc,bsmtfin_sf_1,total_bsmt_sf,bsmt_full_bath,bsmt_half_bath,saleprice
-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,-0.75,-0.5,-0.25,-0.8,-0.6,-0.4,-0.2,-0.8571428571428571,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.07721644605940212,2.2138873951153872,0.9887134156981221,1.012946828351852,-0.23295590797173565,0.7285435821126466,0.7888779249404453,1.269666385589852,0.19330283284372282,-0.19999167214421118,-0.27812760771629513,-0.9317141529360204,-0.7504069635350986,0.8717674615345723,0.22221887028658643,-0.7695695461971147,-0.8231718845080025,-0.25075930319109224,130500
-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,-0.75,-0.5,-0.25,-0.8,-0.6,-0.4,-0.2,-0.8571428571428571,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,0.16666666666666666,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,0.6267343828139811,-0.5122380284276672,0.6087948079176972,1.012946828351852,-0.23295590797173565,0.7285435821126466,0.7888779249404453,1.269666385589852,1.4408731794192435,-0.19999167214421118,1.0307460647078441,0.6573587270295246,-0.7504069635350986,0.8717674615345723,0.45968781295357086,-0.3282736228418934,1.1410399009436043,-0.25075930319109224,220000
0.125,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,0.25,-0.5,-0.25,-0.8,-0.6,-0.4,-0.2,-0.8571428571428571,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.7811672749327854,1.3051789206010358,1.0836930676432284,-0.693201392061831,2.457949551724503,0.7285435821126466,-1.0695100488763856,-0.7406387249274137,0.19330283284372282,-0.19999167214421118,-0.9325644439283648,-0.9317141529360204,-0.7504069635350986,-1.2023147494657618,0.6743232034410376,0.009740275898276168,1.1410399009436043,-0.25075930319109224,109000
-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,0.25,0.5,-0.25,-0.8,-0.6,-0.4,-0.2,0.14285714285714285,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.7811672749327854,-0.5122380284276672,1.0836930676432284,-0.693201392061831,-0.23295590797173565,-0.7797345262733117,0.7888779249404453,1.269666385589852,0.19330283284372282,-0.19999167214421118,0.37630922849577453,-0.9317141529360204,0.06535309425064649,-0.16527364396559469,-0.9948094608817087,-1.5700052369637663,-0.8231718845080025,-0.25075930319109224,174000
0.125,0.25,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,0.3333333333333333,-0.3333333333333333,0.25,-0.5,-0.25,-0.8,-0.6,-0.4,-0.2,0.14285714285714285,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,0.16666666666666666,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.07721644605940212,2.2138873951153872,0.4188355040274848,-0.693201392061831,-0.23295590797173565,-0.7797345262733117,0.7888779249404453,-0.7406387249274137,0.19330283284372282,-0.19999167214421118,-0.27812760771629513,-0.9317141529360204,-0.7504069635350986,-1.2023147494657618,-0.9948094608817087,-0.8845881645184225,-0.8231718845080025,-0.25075930319109224,138500
0.125,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,0.25,0.5,-0.25,-0.8,-0.6,-0.4,-0.2,0.14285714285714285,0.2857142857142857,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,0.16666666666666666,0.3333333333333333,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.07721644605940212,0.3964704460866843,0.8462439377804628,1.012946828351852,-0.23295590797173565,0.7285435821126466,0.7888779249404453,1.269666385589852,-1.0542675137317978,-0.19999167214421118,-0.27812760771629513,0.6573587270295246,-0.7504069635350986,0.8717674615345723,-0.43082072204762073,1.0895068968738177,-0.8231718845080025,-0.25075930319109224,190000
0.125,0.25,0.375,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,0.25,0.5,-0.25,-0.8,-0.6,-0.4,-0.2,-0.8571428571428571,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.07721644605940212,-0.5122380284276672,1.0362032416706752,-0.693201392061831,-0.23295590797173565,-0.7797345262733117,0.7888779249404453,-0.7406387249274137,-1.0542675137317978,-0.19999167214421118,-0.9325644439283648,-0.9317141529360204,-0.7504069635350986,-0.16527364396559469,0.2541858433379113,-1.1873922821398244,1.1410399009436043,-0.25075930319109224,140000
0.125,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,-0.75,-0.5,-0.25,0.2,-0.6,-0.4,-0.2,0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.7811672749327854,-0.5122380284276672,-1.1958185790393208,-0.693201392061831,-0.23295590797173565,-0.7797345262733117,-1.0695100488763856,-0.7406387249274137,0.19330283284372282,-0.19999167214421118,-0.27812760771629513,-0.9317141529360204,-0.7504069635350986,-2.239355854965929,1.2885457570700645,0.3172390310021804,1.1410399009436043,-0.25075930319109224,142000
0.125,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,0.25,-0.5,-0.25,0.2,-0.6,-0.4,-0.2,0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.7811672749327854,-0.5122380284276672,-1.5282473608471925,-0.693201392061831,-0.23295590797173565,-0.7797345262733117,-1.0695100488763856,-0.7406387249274137,-1.0542675137317978,-0.19999167214421118,-0.27812760771629513,-0.9317141529360204,-0.7504069635350986,-1.2023147494657618,-0.32806973723979094,-0.30245311668813046,-0.8231718845080025,-0.25075930319109224,112500
-0.875,-0.75,-0.625,-0.5,-0.375,-0.25,-0.125,-0.8,-0.6,-0.4,-0.2,-0.5,-0.75,-0.5,-0.25,-0.6666666666666666,-0.3333333333333333,0.25,-0.5,-0.25,-0.8,-0.6,-0.4,-0.2,0.14285714285714285,0.2857142857142857,0.42857142857142855,-0.42857142857142855,-0.2857142857142857,-0.14285714285714285,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,0.16666666666666666,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.8333333333333334,-0.6666666666666666,-0.5,-0.3333333333333333,-0.16666666666666666,-0.5,-0.7811672749327854,-0.5122380284276672,-0.7209203193137897,-0.693201392061831,-0.23295590797173565,-2.28801263465927,-1.0695100488763856,3.279971496107118,2.688443525994764,-0.19999167214421118,1.6851829009199137,2.2464316069950696,1.9823892300471477,-1.2023147494657618,0.4893714307869439,-0.03016414270299385,-0.8231718845080025,3.7952221522651817,135000
